Epoch,Train Loss,Test Loss,Validation Loss,Train Accuracy,Test Accuracy,Validation Accuracy
1,1.2828373197160783,1.4238814489046732,1.663772896716469,0.5330391955674123,0.5333054042731462,0.2904841402337229
2,0.9769112457505992,1.4485028878847759,1.4865855700091313,0.6469320746973117,0.5203183912861332,0.4373956594323873
3,0.8364840588120164,1.304572106997172,1.4204194796712775,0.7022368151036322,0.48470883954754923,0.4040066777963272
4,0.7472495125209699,0.9748357458909352,1.2884161535062288,0.7328134619331007,0.673229995810641,0.4974958263772955
5,0.6916967585789742,1.0916911137104035,1.2933457054589923,0.7566180997332239,0.6644323418516966,0.5141903171953256
6,0.6399579325293908,0.9001533305644989,1.1802823669032048,0.7770367330186744,0.711772098868873,0.5709515859766278
7,0.6033422695930863,0.829041232864062,1.0972711679182554,0.7890416581161502,0.7452869710934227,0.5943238731218697
8,0.562863233264299,0.7838886451721191,1.1324620937046253,0.8037143443463985,0.7653958944281525,0.5709515859766278
9,0.5361132087033303,0.8611283059914907,1.0788404549423016,0.8138723578904166,0.7616254713028907,0.6243739565943238
10,0.507816162986345,0.9251790161927541,1.0740296683813397,0.820644366919762,0.6954335986594051,0.6126878130217028
11,0.4808395690544218,0.8708941058317821,1.0202742391511013,0.8335727477939667,0.7239212400502724,0.6143572621035058
12,0.4615080732058306,0.7049832590421041,1.0154985361977626,0.8322388672275806,0.7666527021365731,0.6277128547579299
13,0.4390006747860156,0.8375834516684214,0.9887505440335524,0.8458854914836856,0.718475073313783,0.6210350584307178
14,0.4158345831741319,0.709744483033816,1.0862404704093933,0.8587112661604761,0.7494763301214914,0.5843071786310517
15,0.3999359382148527,0.6693577942252159,0.9208073914051056,0.8542991996716601,0.7997486384583159,0.6828046744574291
16,0.3743938814909732,0.7339180888732274,1.0028949019156004,0.8690744920993227,0.7545035609551739,0.6277128547579299
17,0.35155925000788735,0.6684368975957234,0.9461198386393095,0.8764621383131541,0.7909509844993716,0.671118530884808
18,0.3526337850775921,0.6184845865766208,0.9984783028301439,0.8729735276010671,0.8093841642228738,0.6060100166944908
19,0.32717147228598104,0.6317673014601072,0.901032818775428,0.884978452698543,0.8031001256807708,0.6861435726210351
20,0.31234775068329984,0.6366888578732809,0.9304585519589876,0.8893905191873589,0.7951403435274403,0.659432387312187
21,0.30534055459572645,0.5848815309504668,0.9156477168986672,0.8945208290580751,0.8236279849183075,0.6878130217028381
22,0.2813247436669714,0.6182804243763288,0.9212922030373624,0.8974964087830904,0.795978215333054,0.662771285475793
23,0.26685636414703534,0.5827753818531831,0.9538038396521619,0.9096039400779807,0.8035190615835777,0.6510851419031719
24,0.2751875924152612,0.5817359533905982,0.8818896459905725,0.9026267186538067,0.8031001256807708,0.656093489148581
25,0.25050671926096507,0.6017020046710968,0.8701494947860116,0.9142212189616253,0.8098031001256808,0.6861435726210351
26,0.2331369742842727,0.5191737445443869,0.9507179801401339,0.913502975579725,0.8332635106828655,0.66110183639399
27,0.22858963891421064,0.6082618594169616,0.8804705080233122,0.9153498871331829,0.7913699204021785,0.67779632721202
28,0.22151973854261833,0.5562682830790678,0.9158126868699726,0.9200697722142417,0.8060326770004189,0.66110183639399
29,0.2004557840606259,0.6140999068816503,0.9192788067616915,0.9271495998358301,0.783410138248848,0.6477462437395659
30,0.19022587768153335,0.5777172661821047,0.8910599319558394,0.9320746973117177,0.8072894847088395,0.6828046744574291
31,0.18429720997896243,0.6234465619921684,1.072875457374673,0.9348450646419044,0.7779639715123586,0.6227045075125208
32,0.17516190626449285,0.5374131648242474,0.9776097896851992,0.9380258567617484,0.8253037285295349,0.659432387312187
