Epoch,Train Loss,Test Loss,Validation Loss,Train Accuracy,Test Accuracy,Validation Accuracy
1,1.0731483176245509,0.9934714935223261,1.2384678219494067,0.42691313036323025,0.6046901172529313,0.31552587646076796
2,0.8131816883741773,0.7218782230218251,1.050280944297188,0.5499294698483602,0.7077051926298158,0.4090150250417362
3,0.7085798778722249,0.6489569030205409,1.0203172439023067,0.5877218761020336,0.7382747068676717,0.41736227045075125
4,0.6316595696714993,0.5455777803063393,0.9325464132585024,0.6159045491947808,0.7554438860971524,0.4307178631051753
5,0.5575515696026655,0.5930802835027377,0.8506904385591808,0.6421476431174327,0.7378559463986599,0.5191986644407346
6,0.4913038342042209,0.4909075144430002,0.8349992726978502,0.6698013400728812,0.7747068676716918,0.5158597662771286
7,0.418302821548026,0.547809486190478,0.9373903086310938,0.7007758316680381,0.7587939698492462,0.48914858096828046
8,0.5648140813770026,0.5696586355039229,0.9298893864217558,0.6569883625249794,0.7763819095477387,0.5792988313856428
9,0.32385791029731187,0.7012892266145597,1.1724764920378987,0.7417127071823204,0.7629815745393634,0.5659432387312187
10,0.2567910637197947,0.6306526613545914,1.2123915866801613,0.769483954390502,0.7780569514237856,0.5525876460767947
11,0.18745878749310516,0.7630096973894008,1.4635402983740757,0.7922299282943458,0.7784757118927973,0.5692821368948247
12,0.16778852043392592,0.7115550340293461,1.1243916655841626,0.8031033266721523,0.7654941373534339,0.5809682804674458
13,0.13189819169656958,0.743079757890664,1.2989575478591417,0.8157693664041378,0.7826633165829145,0.5859766277128547
14,0.11338502171204856,0.8435343292014053,1.5620671416583813,0.8219407546726225,0.7734505862646566,0.5709515859766278
15,0.16976075641969124,0.8529168379108402,1.5484017700349029,0.8025449629716704,0.7801507537688442,0.5893155258764607
16,1126.2529261399202,1.2638994216918946,1.5413887814471596,0.5112554366991889,0.4962311557788945,0.1669449081803005
17,1.219967426018475,1.2612911367416382,1.5200863511938798,0.35547196426472316,0.4962311557788945,0.1669449081803005
18,1.2193024110558675,1.288317616780599,1.5297436557318036,0.35547196426472316,0.4962311557788945,0.1669449081803005
19,1.2191175285728537,1.262915787299474,1.4968401507327431,0.35547196426472316,0.4962311557788945,0.1669449081803005
20,1.2193345355494347,1.2670828950405122,1.5206079106581838,0.35547196426472316,0.4962311557788945,0.1669449081803005
21,1.2195141638283669,1.2643802650769551,1.5166466361597966,0.35547196426472316,0.4962311557788945,0.1669449081803005
