Epoch,Train Loss,Test Loss,Validation Loss,Train Accuracy,Test Accuracy,Validation Accuracy
1,1.6764746158913462,1.638372660965048,1.9568754089506049,0.2929828995029905,0.2984020185029437,0.1669449081803005
2,1.6046063568232194,1.5499122117155342,1.887771531155235,0.30978856035717295,0.3633305298570227,0.2003338898163606
3,1.4803356972505461,1.4157705101915585,1.8681549806343882,0.37103024176564736,0.3860386879730866,0.20534223706176963
4,1.3996084919676306,1.403552266859239,1.9267147465756065,0.40826383623957546,0.4529857022708158,0.23205342237061768
5,1.3359975114344265,1.376068888332254,1.863081251320086,0.4489933451267795,0.48225399495374266,0.2621035058430718
6,1.2810848969012258,1.2850116143623989,1.8789387188459699,0.48037233594473927,0.4947014297729184,0.2637729549248748
7,1.2324535188006585,1.320918600084961,1.8742041462346126,0.49894701373094097,0.4733389402859546,0.2587646076794658
8,1.1633084569015915,1.215117839395359,1.9690275160889876,0.5214388004380422,0.5108494533221194,0.2687813021702838
9,1.1105626149559922,1.1798690596735606,1.9292799610840647,0.540603150534917,0.5266610597140454,0.28046744574290483
10,1.0480623638453188,1.1119768483343946,1.911868336953615,0.5678123157274029,0.5475189234650967,0.27712854757929883
11,0.9640586330402251,1.113326737236592,1.8183641998391402,0.61679723696403,0.5584524810765349,0.32554257095158595
12,0.8460598070666475,1.021128286307137,2.162320466418015,0.6681408474433493,0.6179983179142137,0.35392320534223703
13,0.7467343256761122,0.9746078418227293,2.001283259768235,0.7117765984331564,0.6270815811606392,0.34390651085141904
14,0.6363311146067159,1.0340831765043799,2.2191431961561503,0.7597085334007244,0.6410428931875526,0.38731218697829717
15,0.5181880636175848,1.0879225365577205,3.1089574349553963,0.8107573077247072,0.6496215306980656,0.3572621035058431
16,0.40700626868573886,1.1549632567111203,2.483827741522538,0.8522449667256339,0.6427249789739277,0.41903171953255425
17,0.3152365991613524,1.32560329616911,3.3758337121260795,0.892047847696066,0.6464255677039529,0.41569282136894825
18,0.2500251085303518,1.4694513156309084,3.5725974597428976,0.9147923511077416,0.6467619848612279,0.38731218697829717
19,0.2076466350466003,1.4792202414484115,3.7953428845656547,0.9274281863364502,0.6550042052144659,0.39565943238731216
20,0.17394087313579626,1.4417778509543828,4.143726210845144,0.9425490691601381,0.6499579478553407,0.3722871452420701
21,0.14652970975758808,1.6551270366756505,4.097508518319381,0.9529104540476793,0.6442388561816653,0.3823038397328882
22,0.13003434041419523,1.7686592559192469,4.623237892201073,0.960449835734142,0.6492851135407905,0.38397328881469117
