Epoch,Train Loss,Test Loss,Validation Loss,Train Accuracy,Test Accuracy,Validation Accuracy
1,1.5576017519052459,1.3771462398831562,2.066038291705282,0.34310504591020136,0.45046257359125313,0.18363939899833054
2,1.3187541392132278,1.2754762895325178,2.0059990224085356,0.46234521101844833,0.5162321278385198,0.2654424040066778
3,1.1864605457634938,1.1787602646696953,2.0220167072195756,0.5138994187515795,0.5093355761143818,0.2671118530884808
4,1.111187338045826,1.1243034756632262,1.945123459163465,0.5410243450425406,0.5633305298570227,0.3055091819699499
5,1.0537540805990484,1.190162277189634,2.0147376844757483,0.5667172100075815,0.5352396972245584,0.28046744574290483
6,0.9905221520087147,1.0702375024957682,2.0852025496332267,0.5976750063179176,0.576619007569386,0.3088480801335559
7,0.9225103748897016,1.0432694168981684,2.0846010007356344,0.624715693707354,0.5983179142136249,0.33889816360601
8,0.8623080880373636,1.005008448836624,2.024063147996601,0.65192485889984,0.6146341463414634,0.3622704507512521
9,0.8017068868176636,1.0137762231652134,2.109089399638929,0.6825035801533148,0.6105971404541631,0.35392320534223703
10,0.7337462034206989,1.0060431547062372,1.9880490208926953,0.7124926290961165,0.631623212783852,0.38564273789649417
11,0.6709742177769823,1.1078103040094658,2.062623729831294,0.7463145480582933,0.591757779646762,0.36894824707846413
12,0.6177482380860578,1.002693445081272,2.0412449115201046,0.7696066043298795,0.6420521446593777,0.4073455759599332
13,0.558356662830614,1.1122630392752026,2.5865045095744885,0.7979108752421868,0.6132884777123633,0.33889816360601
14,0.5007325501364437,1.0826042021314304,2.323637378843207,0.8222137983320698,0.632968881412952,0.38898163606010017
15,0.44340625145495177,1.0260294358476356,2.376062430833515,0.8495914413276051,0.6524810765349033,0.39065108514190316
16,0.3994336383959474,1.0313689398068575,2.410498001073536,0.8686294330721928,0.6548359966358285,0.39232053422370616
17,0.3630865738724642,1.0876647817591827,2.5617290797986483,0.8824867323730099,0.656013456686291,0.3989983305509182
18,0.3281485672256937,1.1449538686523033,2.7509905758656954,0.895754359363154,0.6361648444070648,0.3789649415692821
