Epoch,Train Loss,Test Loss,Validation Loss,Train Accuracy,Test Accuracy,Validation Accuracy
1,1.4220639497764669,1.2469820467534887,1.99911546079736,0.4188955814835095,0.5075706594885598,0.3071786310517529
2,1.1687932046597216,1.1339094016340472,2.18083087394112,0.5344341013436671,0.544414535666218,0.3105175292153589
3,1.04050554216631,1.0931955263299007,2.387714793807582,0.5918453308622215,0.572678331090175,0.335559265442404
4,0.9422846869076037,1.0348907834499754,2.2666320424330864,0.6338823132976706,0.5869784656796769,0.34223706176961605
5,0.8605094374310617,1.0069926870606278,1.8980668375366612,0.6666105050334864,0.6209623149394348,0.44073455759599334
6,0.782818035164853,1.076511766200745,2.2185970889894584,0.702961122109431,0.5908479138627187,0.38564273789649417
7,0.7114864183524549,1.0667786140155087,2.09931030398921,0.7293290088875785,0.6051480484522207,0.42070116861435725
8,0.6345337229979167,0.9945116372358415,2.547216246002599,0.7636156859441473,0.6463660834454913,0.38564273789649417
9,0.5642178660695444,1.022715997361448,2.7216151921372664,0.7884672086264268,0.6374495289367429,0.41402337228714525
10,0.49319327204937563,1.0861365034455253,2.910111897870114,0.8222484309843731,0.6359353970390309,0.3789649415692821
11,0.43525279830950453,1.1833645513748139,3.0093106376497367,0.8432669222020976,0.6266823687752355,0.37061769616026713
12,0.38567304996788665,1.1461294870623338,2.69436051971034,0.8609999578787751,0.6433378196500673,0.38731218697829717
13,0.3351353814177757,1.3066124035926756,2.9778648677625155,0.8826923886946633,0.6318977119784657,0.41068447412353926
14,0.28791268746747645,1.2954077550838452,2.810009821465141,0.9000042121224885,0.6421601615074024,0.4090150250417362
15,0.25832053001422806,1.3879149651745715,3.261662251070926,0.9092708815972369,0.6110363391655451,0.38898163606010017
16,0.21999466756228206,1.395468940247371,3.459968378669337,0.9257402805273577,0.6470390309555855,0.39398998330550916
