Epoch,Train Loss,Test Loss,Validation Loss,Train Accuracy,Test Accuracy,Validation Accuracy
1,1.5270441611099115,1.4779940268365286,2.0065164942490425,0.36038920011793946,0.4199192462987887,0.18697829716193656
2,1.289742333990223,1.5229949821387567,1.896426869066138,0.47689650815045703,0.38896366083445494,0.24540901502504173
3,1.1821385591097597,1.4140685625294203,1.7414162504045587,0.5291689482330146,0.47947510094212653,0.3121869782971619
4,1.1147287965744654,1.3489908136988198,1.7501720472386009,0.5555368350111621,0.49411170928667564,0.31385642737896496
5,1.0654289254321243,1.3915593322887216,1.6846882418582314,0.5768080535781981,0.46315612382234184,0.337228714524207
6,1.0229208593098622,1.3917643908531434,1.6258370092040615,0.5955941198770061,0.4781292059219381,0.3555926544240401
7,0.9960923806194346,1.418942231324411,1.7308632794179415,0.6062507897729666,0.4539030955585464,0.3071786310517529
8,0.9658528857555673,1.4362579536053441,1.79834540894157,0.6165283686449602,0.4152086137281292,0.2988313856427379
9,0.9403140820020613,1.476224626424492,1.8847386837005615,0.6301335242828862,0.36507402422611035,0.27212020033388984
10,0.9157735883908452,1.4554202787337764,1.8568385996316608,0.6415904974516659,0.38341184387617766,0.27212020033388984
11,0.8939665348904152,1.5767528722363133,1.812235973383251,0.6514047428499221,0.3149394347240915,0.2938230383973289
12,0.8765790051406606,1.4783492645909708,1.9238150308006687,0.6547744408407397,0.3598586810228802,0.27212020033388984
13,0.8609577805366156,1.6027378483164696,1.961110908734171,0.6605029274251295,0.32351951547779273,0.3088480801335559
14,0.8370466656239849,1.5005517153329746,1.8532404868226302,0.6701908091487301,0.35010094212651416,0.3105175292153589
15,0.8200570870984115,1.512906957217442,1.8083859493857937,0.6773514173792173,0.3415208613728129,0.3121869782971619
16,0.8036584376164202,1.3825557233505352,1.8186684188089872,0.6820268733414768,0.4468371467025572,0.32053422370617696
17,0.7853716169948366,1.4981295950310205,1.8198407543332953,0.6900720272945537,0.35447510094212653,0.29549248747913187
