Epoch,Train Loss,Test Loss,Validation Loss,Train Accuracy,Test Accuracy,Validation Accuracy
1,1.0925556593009682,0.8679352256904046,1.69316734138288,0.6104042684178125,0.6950146627565983,0.4373956594323873
2,0.7739925618543,0.6865011605868737,1.184064231420818,0.7288118202339421,0.770423125261835,0.5926544240400667
3,0.6289223238337235,0.6621428327262402,1.1325910287468057,0.7793966755592038,0.776707163803938,0.6043405676126878
4,0.5257584580632507,0.6772866768141588,1.1124498153987683,0.8157192694438744,0.7578550481776288,0.6310517529215359
5,0.44910891836539646,0.6122269063070417,1.1702561229467392,0.8458854914836856,0.7943024717218266,0.6293823038397329
6,0.36562067394251707,0.6337174837291241,1.0753882448924215,0.8769751693002258,0.789694176790951,0.657762938230384
7,0.3114820255180363,0.6753806789653997,1.1306264486752058,0.8942130104658321,0.7909509844993716,0.671118530884808
8,0.2567049624825843,0.6090601004535953,1.1665723770856857,0.9162733429099118,0.8081273565144533,0.666110183639399
9,0.22553307244584697,0.7079186353615174,1.270670169278195,0.9217114713728709,0.7880184331797235,0.6343906510851419
10,0.17554318612349815,0.7332191705765824,1.2042884199242843,0.9366919761953622,0.7997486384583159,0.6911519198664441
11,0.14113165314469608,0.7286547287010278,1.2853626930399944,0.950543812846296,0.8005865102639296,0.667779632721202
12,0.11613477350682112,0.7424262459824482,1.2381462035210509,0.9626513441411861,0.7938835358190197,0.679465776293823
13,0.09698904481788975,0.8398816120027913,1.518906102368706,0.9667555920377591,0.7972350230414746,0.672787979966611
14,0.0862590921119993,0.8286333257953326,1.4474175729249652,0.9696285655653601,0.789694176790951,0.6811352253756261
15,0.07257988203982975,0.9105630063770028,1.7245902372033972,0.9737328134619331,0.8060326770004189,0.676126878130217
16,0.0682430532193155,0.8596200873640676,1.4720787939272428,0.9769136055817771,0.8005865102639296,0.6944908180300501
17,0.05155691839567315,0.890894661116957,1.4944835113067376,0.9826595526369792,0.8085462924172602,0.7128547579298832
18,0.0361038692741651,0.8602606313908473,1.6731477842519158,0.9876872563102811,0.8194386258902387,0.6878130217028381
19,0.03297090263574214,1.024936335938934,1.9849169175875814,0.9896367740611532,0.8127356514453289,0.667779632721202
20,0.056357606806836213,0.9277793498385776,1.5850794166326523,0.9825569464395649,0.7989107666527021,0.6961602671118531
21,0.09517310397760545,0.9330300907569714,1.697321731793253,0.9686025035912169,0.7989107666527021,0.67779632721202
22,0.040425130014534905,0.8672786911123936,1.6969580062125857,0.9855325261645803,0.8215333054042732,0.671118530884808
23,0.03782214260835212,1.050566207987431,1.8516870250827389,0.98861071208701,0.7951403435274403,0.667779632721202
24,0.10410505460993173,0.8165228644217132,1.457638162139215,0.9667555920377591,0.8181818181818182,0.7161936560934892
25,0.027204045212873427,0.8449462854470281,1.4553219730916775,0.9918941104042684,0.808965228320067,0.7111853088480802
26,0.04275435736597531,0.9874780952840229,2.002601013371819,0.9870716191257952,0.8035190615835777,0.6393989983305509
27,0.06241635412204873,0.8693820568709634,1.4992115638758008,0.9802996100964498,0.8085462924172602,0.7178631051752922
28,0.027679045408101538,0.8799660995641413,1.708714881225636,0.9914836856146111,0.808965228320067,0.676126878130217
29,0.023847990847511415,0.8592711845387627,1.7123657523801452,0.9926123537861686,0.8244658567239213,0.6894824707846411
30,0.013582021921588496,0.910291051772462,1.6909376594581103,0.9948696901292838,0.8290741516547968,0.6978297161936561
31,0.010833756130818611,0.9708037950433724,1.7652699170928252,0.9974348450646419,0.8307498952660243,0.7011686143572621
32,0.008686788883230784,0.9625818745101181,1.707707278038326,0.9973322388672275,0.8181818181818182,0.7195325542570952
33,0.008814332175869986,0.9161936495065128,1.7648433007692035,0.9971270264723989,0.8294930875576036,0.7178631051752922
34,0.013704632077687925,0.9223518752292633,1.774659768531197,0.9956905397085984,0.8165060745705907,0.7128547579298832
35,0.005460017509768313,0.9741482370263839,1.823809555094493,0.9986661194336138,0.8253037285295349,0.7095158597662772
36,0.004226062318823514,0.9135371649854157,1.8659912516411983,0.9991791504206854,0.8294930875576036,0.6961602671118531
37,0.0035203242295464123,0.9853311495422774,1.9370259019105058,0.9988713318284425,0.8198575617930457,0.6911519198664441
38,0.009099780716150847,0.9422371342863577,1.9130261407086724,0.9970244202749846,0.8294930875576036,0.7095158597662772
39,0.004293462427922052,0.9418476465707741,1.7462837398052216,0.9989739380258568,0.8261416003351487,0.7045075125208681
40,0.0023087717206851906,0.9762161466237982,1.9776668266246193,0.9995895752103428,0.8320067029744449,0.6928213689482471
41,0.0017430022092255848,0.9386164098878119,1.879862637504151,0.9994869690129283,0.82195224130708,0.7028380634390651
42,0.000970179498448279,0.888779878479351,1.8118261498840231,0.9998973938025857,0.8370339338081274,0.7028380634390651
43,0.0017770042486592473,0.9959651875940169,1.9541664374502081,0.9995895752103428,0.8257226644323419,0.7045075125208681
