Epoch,Train Loss,Test Loss,Validation Loss,Train Accuracy,Test Accuracy,Validation Accuracy
1,1.4000973914978934,1.2312708151340486,2.020927507626383,0.49225402688006564,0.5422948073701842,0.2036727879799666
2,1.1421062917982945,1.147817595799764,1.6299181298205727,0.5687903970452447,0.6000837520938024,0.41068447412353926
3,0.9646108906288616,0.8487386832634608,1.5005189854847758,0.6555863342566943,0.7131490787269682,0.44073455759599334
4,0.8092183267728227,0.7857306410868963,1.315953022555301,0.7225813070688417,0.7453936348408711,0.5275459098497496
5,0.7012012109648986,0.7005432098110517,1.2259373633485091,0.7578742177080128,0.7567001675041876,0.5308848080133556
6,0.6074869715440713,0.7116009770830473,1.1928250726900602,0.7894736842105263,0.7533500837520938,0.5642737896494157
7,0.5251475226317273,0.6586227758166691,1.1847321249936755,0.8199445983379502,0.7730318257956449,0.5859766277128547
8,0.4618357448121075,0.6198519533375899,0.9847790912577981,0.8396429670667898,0.7935510887772195,0.6460767946577629
9,0.408319104923943,0.6077685591578483,1.0038258864691383,0.8596491228070176,0.8031825795644891,0.669449081803005
10,0.3322896351824041,0.6319627948167423,1.025540064824255,0.8875551451728737,0.7876884422110553,0.6510851419031719
11,0.2917142365906449,0.6575568434766804,1.2297127874274003,0.9017133476967272,0.7985762144053601,0.6110183639398998
12,0.26953641301570613,0.6276334258355201,1.0197961989201998,0.9110495537088334,0.8040201005025126,0.662771285475793
13,0.22589658364542897,0.6736742944518725,0.9986327008197182,0.9239766081871345,0.7977386934673367,0.669449081803005
14,0.20971804066164204,0.8569272910496996,1.5844802911344327,0.9329024315173899,0.8031825795644891,0.657762938230384
15,0.1900077402863659,0.6541544521631052,1.1382395789811486,0.9384425977223761,0.8061139028475712,0.679465776293823
16,0.16190926442365305,0.7416268967681875,1.14487565897013,0.9500359084846619,0.804857621440536,0.676126878130217
17,0.1500850881864876,0.9113105290875926,1.423324032441566,0.953524161280394,0.7730318257956449,0.654424040066778
18,0.13862247683492404,0.7351543257160422,1.3390996224786107,0.9572176054170514,0.8207705192629816,0.672787979966611
19,0.13188922352297805,0.7077171636465936,1.2305421468458677,0.9601928798604699,0.8073701842546064,0.6811352253756261
20,0.135565128375883,0.7632173656734328,1.1966426647023152,0.9597824971786191,0.7688442211055276,0.662771285475793
21,0.1050184205546832,0.7329623770789233,1.368532830947324,0.9687083205088746,0.817001675041876,0.676126878130217
22,0.12682431292539792,0.7245590943029674,1.2323754704312275,0.9638863239971274,0.8069514237855946,0.6928213689482471
23,0.09542128568435027,0.9775836394230525,1.3259005938705646,0.9717861906227557,0.7466499162479062,0.679465776293823
24,0.09440278547746828,0.8200566253019497,1.4307392694448169,0.9726069559864574,0.7964824120603015,0.66110183639399
25,0.08288357956967123,0.7869557368210128,1.4572602086945583,0.9745562737252488,0.8165829145728644,0.6911519198664441
26,0.0919186339759078,0.7632958386995596,1.2423314977633326,0.9739406997024725,0.8086264656616415,0.6994991652754591
27,0.08445495662006161,0.8102065474242454,1.4714884373702501,0.9763004001231148,0.8195142378559463,0.6894824707846411
28,0.07721127847315327,0.7901996065567558,1.3705344645208435,0.9770185698163537,0.818676716917923,0.6928213689482471
29,0.07349386171138904,0.7953336908468434,1.5684005057341175,0.9789678875551452,0.8161641541038526,0.6911519198664441
30,0.06496743576672535,0.9049005023141702,1.4399664319659535,0.9823535446804145,0.7922948073701842,0.7111853088480802
31,0.06456749312653681,0.919414752589837,1.561626642158157,0.9817379706576382,0.8107202680067002,0.6828046744574291
32,0.0734000030411026,0.977648111716456,1.617653154228863,0.9818405663281009,0.7914572864321608,0.662771285475793
33,0.06793190607579133,0.8791049662081059,1.7642845417323865,0.9814301836462501,0.8128140703517588,0.657762938230384
34,0.061660819425271136,0.8159615063474,1.4254956833626096,0.9837898840668924,0.8031825795644891,0.6944908180300501
35,0.06596341165018575,0.9186117473601795,1.6171683127942837,0.9817379706576382,0.8165829145728644,0.679465776293823
36,0.06572730633627014,1.1350611701308906,2.0032342468437396,0.9820457576690264,0.800251256281407,0.6811352253756261
